Iteracion FuncionCosto
1 0.00198204
2 0.00167863
3 0.00142686
4 0.00121754
5 0.00104319
6 0.000897658
7 0.000775916
8 0.000673844
9 0.000588062
10 0.000515793
11 0.000454755
12 0.000403068
13 0.000359186
14 0.000321829
15 0.000289941
16 0.000262647
17 0.000239222
18 0.000219064
19 0.000201671
20 0.000186623
21 0.000173573
22 0.000162226
23 0.000152336
24 0.000143696
25 0.000136132
26 0.000129496
27 0.000123661
28 0.000118522
29 0.000113987
30 0.000109979
31 0.00010643
32 0.000103284
33 0.00010049
34 9.80074e-005
35 9.57975e-005
36 9.38285e-005
37 9.20724e-005
38 9.05047e-005
39 8.91041e-005
40 8.78517e-005
41 8.67311e-005
42 8.57278e-005
43 8.48289e-005
44 8.40231e-005
45 8.33005e-005
46 8.26521e-005
47 8.20702e-005
48 8.15476e-005
49 8.10783e-005
50 8.06565e-005
51 8.02775e-005
52 7.99368e-005
53 7.96304e-005
54 7.93548e-005
55 7.9107e-005
56 7.8884e-005
57 7.86833e-005
58 7.85028e-005
59 7.83402e-005
60 7.81939e-005
61 7.80622e-005
62 7.79436e-005
63 7.78369e-005
64 7.77407e-005
65 7.76542e-005
66 7.75762e-005
67 7.7506e-005
68 7.74427e-005
69 7.73858e-005
70 7.73344e-005
71 7.72882e-005
72 7.72466e-005
73 7.72091e-005
74 7.71753e-005
75 7.71448e-005
76 7.71174e-005
77 7.70927e-005
78 7.70705e-005
79 7.70504e-005
80 7.70323e-005
81 7.7016e-005
82 7.70014e-005
83 7.69882e-005
84 7.69763e-005
85 7.69655e-005
86 7.69559e-005
87 7.69471e-005
88 7.69393e-005
89 7.69322e-005
