Iteracion FuncionCosto
1 0.141512
2 0.0353471
3 0.0608719
4 0.0165077
5 0.0361578
6 0.00983855
7 0.0241868
8 0.00805762
9 0.0180691
10 0.00798758
11 0.014795
12 0.00840457
13 0.0129625
14 0.00887211
15 0.011895
16 0.00925935
17 0.0112521
18 0.00954629
19 0.0108549
20 0.00974761
21 0.0106049
22 0.00988463
23 0.0104453
24 0.00997622
25 0.0103425
26 0.0100368
27 0.0102759
28 0.0100765
29 0.0102325
30 0.0101024
31 0.0102042
32 0.0101193
33 0.0101857
34 0.0101302
35 0.0101735
36 0.0101373
37 0.0101656
38 0.0101419
39 0.0101604
40 0.0101449
41 0.0101569
42 0.0101468
43 0.0101547
44 0.0101481
45 0.0101532
46 0.0101489
47 0.0101522
48 0.0101494
49 0.0101516
50 0.0101497
51 0.0101511
52 0.0101499
53 0.0101509
54 0.0101501
55 0.0101507
